Number Baths,Location,Type of Home,Price,Price/SqFt,Square Feet
1.5,City,Connected,220600,153.194444,1440
4,Suburb,Detached,904700,205.147392,4410
2,City,Connected,263400,166.708861,1580
2.5,Suburb,Connected,220600,195.221239,1130
2.5,City,Connected,245700,167.142857,1470
2.5,Suburb,Connected,352200,193.516484,1820
3.5,Rural,Detached,630800,152.36715,4140
3,Rural,Detached,551600,155.819209,3540
3,Suburb,Detached,705700,208.171091,3390
1.5,Suburb,Connected,250800,175.384615,1430
2.5,City,Connected,306900,148.980583,2060
3.5,Suburb,Detached,688200,209.179331,3290
2.5,Suburb,Detached,536900,200.335821,2680
4,Rural,Detached,564800,157.325905,3590
2,City,Connected,243700,172.836879,1410
1.5,Suburb,Connected,283800,176.273292,1610
2.5,Suburb,Detached,553700,202.820513,2730
2.5,Rural,Detached,548700,154.56338,3550
2,Suburb,Connected,371900,182.303922,2040
3,Rural,Detached,1032800,149.898403,6890
4,Suburb,Detached,722100,210.524781,3430
4,Rural,Detached,894300,150.050336,5960
2,Suburb,Connected,257500,207.66129,1240
4,Rural,Detached,322800,161.4,2000
2.5,Suburb,Detached,544800,209.538462,2600
1.5,City,Connected,334000,153.211009,2180
3,Rural,Detached,616900,153.840399,4010
3.5,Rural,Detached,817800,151.16451,5410
2.5,Rural,Detached,485500,153.154574,3170
2.5,Rural,Detached,602400,152.506329,3950
3.5,Rural,Detached,551800,151.178082,3650
2,Suburb,Connected,524400,179.589041,2920
2,City,Connected,362600,161.155556,2250
1.5,City,Connected,352700,159.59276,2210
2,Suburb,Connected,280200,181.948052,1540
1.5,Suburb,Connected,227500,186.47541,1220
2.5,Rural,Detached,493900,151.969231,3250
4,Rural,Detached,508100,153.504532,3310
3,Rural,Detached,459600,153.2,3000
2.5,City,Connected,328700,162.722772,2020
2,City,Connected,318000,159,2000
4,Rural,Detached,689200,152.815965,4510
3.5,Rural,Detached,739500,157.675906,4690
2.5,City,Connected,300300,172.586207,1740
4,Rural,Detached,507000,155.045872,3270
2.5,Suburb,Connected,193700,176.090909,1100
3.5,Rural,Detached,477500,163.527397,2920
2.5,Rural,Detached,548800,158.15562,3470
2.5,City,Connected,263100,162.407407,1620
3.5,Suburb,Detached,624800,206.887417,3020
1.5,City,Connected,184900,166.576577,1110
4,Rural,Detached,425200,163.538462,2600
4,Rural,Detached,672600,155.694444,4320
1.5,City,Connected,271900,156.264368,1740
1.5,City,Connected,302200,158.219895,1910
2,City,Connected,330700,157.47619,2100
3.5,Rural,Detached,705000,152.597403,4620
2.5,City,Connected,251000,170.748299,1470
2.5,Suburb,Detached,543200,208.122605,2610
2.5,City,Connected,246800,167.891156,1470
2.5,Suburb,Connected,272800,189.444444,1440
2,City,Connected,371000,164.888889,2250
3.5,Suburb,Detached,557200,207.910448,2680
1.5,City,Connected,442800,155.915493,2840
3,Rural,Detached,520900,155.029762,3360
2,Suburb,Connected,201500,199.50495,1010
4,Suburb,Detached,872100,203.761682,4280
2,City,Connected,292900,160.934066,1820
4,Rural,Detached,672900,153.280182,4390
2.5,Suburb,Connected,322700,189.823529,1700
2.5,Suburb,Detached,708000,200,3540
1.5,City,Connected,251900,173.724138,1450
2.5,City,Connected,335300,164.362745,2040
2,City,Connected,246800,145.176471,1700
4,Rural,Detached,433700,152.175439,2850
3.5,Rural,Detached,542800,155.977011,3480
2,City,Connected,191200,162.033898,1180
2.5,Suburb,Connected,239400,199.5,1200
4,Rural,Detached,825900,152.380074,5420
2,Suburb,Connected,484500,186.346154,2600
2.5,City,Connected,229300,158.137931,1450
3.5,Rural,Detached,509300,154.333333,3300
2.5,City,Connected,264800,162.453988,1630
2.5,City,Connected,247900,168.639456,1470
3.5,Rural,Detached,829800,155.393258,5340
2.5,City,Connected,227000,169.402985,1340
4,Rural,Detached,496700,155.705329,3190
2.5,Suburb,Connected,268100,184.896552,1450
4,Suburb,Detached,587800,209.928571,2800
2.5,Suburb,Detached,602600,213.687943,2820
2,City,Connected,340800,166.243902,2050
2.5,Rural,Detached,516800,149.364162,3460
2.5,City,Connected,290800,173.095238,1680
1.5,City,Connected,309600,162.947368,1900
1.5,City,Connected,287600,158.895028,1810
2.5,Suburb,Detached,532400,200.90566,2650
4,Rural,Detached,337800,170.606061,1980
3,Suburb,Detached,729000,205.932203,3540
1.5,City,Connected,188700,164.086957,1150
2,City,Connected,239600,174.890511,1370
4,Suburb,Detached,488000,206.779661,2360
2,City,Connected,232400,157.027027,1480
1.5,City,Connected,351700,156.311111,2250
2.5,Suburb,Detached,533200,202.737643,2630
3,Suburb,Detached,765900,202.619048,3780
4,Rural,Detached,522800,162.360248,3220
3,Rural,Detached,403500,154.007634,2620
1.5,City,Connected,227500,156.896552,1450
4,Suburb,Detached,661000,208.51735,3170
2.5,Suburb,Detached,563200,204.057971,2760
2.5,City,Connected,224000,179.2,1250
4,Rural,Detached,644300,153.404762,4200
2.5,City,Connected,326000,152.336449,2140
1.5,City,Connected,253100,163.290323,1550
3,Rural,Detached,697400,155.32294,4490
2.5,Rural,Detached,384700,153.266932,2510
2.5,Rural,Detached,475400,156.89769,3030
2.5,Rural,Detached,500300,155.372671,3220
3.5,Rural,Detached,555400,155.57423,3570
2.5,Rural,Detached,649400,149.287356,4350
