STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG,TMAX,TMIN
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,1/1/2020,58,71,49
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,1/2/2020,62,73,49
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,1/3/2020,65,78,54
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,1/4/2020,65,79,55
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,1/5/2020,66,79,56
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,1/6/2020,70,77,56
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,1/7/2020,69,82,55
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,1/8/2020,58,82,48
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,1/9/2020,64,75,48
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,1/10/2020,65,75,52
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,1/11/2020,48,74,45
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,1/12/2020,47,55,40
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,1/13/2020,53,63,40
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,1/14/2020,52,63,41
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,1/15/2020,59,68,49
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,1/16/2020,48,68,45
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,1/17/2020,46,55,44
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,1/18/2020,47,49,45
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,1/19/2020,49,53,44
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,1/20/2020,55,60,45
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,1/21/2020,59,66,49
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,1/22/2020,66,76,53
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,1/23/2020,69,79,57
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,1/24/2020,58,79,50
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,1/25/2020,49,67,44
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,1/26/2020,45,53,44
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,1/27/2020,44,49,
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,1/28/2020,46,55,40
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,1/29/2020,47,59,36
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,1/30/2020,46,62,34
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,1/31/2020,50,64,35
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,2/1/2020,55,65,36
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,2/2/2020,56,65,44
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,2/3/2020,51,60,50
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,2/4/2020,52,54,49
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,2/5/2020,56,60,49
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,2/6/2020,56,60,51
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,2/7/2020,54,59,50
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,2/8/2020,51,57,49
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,2/9/2020,51,55,45
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,2/10/2020,54,60,44
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,2/11/2020,57,60,45
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,2/12/2020,65,75,53
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,2/13/2020,67,77,58
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,2/14/2020,64,77,61
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,2/15/2020,52,69,42
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,2/16/2020,42,66,39
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,2/17/2020,47,60,39
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,2/18/2020,50,64,39
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,2/19/2020,57,68,40
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,2/20/2020,60,74,42
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,2/21/2020,64,79,53
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,2/22/2020,64,79,52
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,2/23/2020,64,77,53
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,2/24/2020,71,81,56
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,2/25/2020,70,82,58
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,2/26/2020,72,84,59
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,2/27/2020,74,85,61
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,2/28/2020,69,85,61
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,2/29/2020,72,81,60
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,3/1/2020,68,81,61
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,3/2/2020,66,79,60
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,3/3/2020,58,72,54
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,3/4/2020,53,63,52
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,3/5/2020,60,67,52
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,3/6/2020,63,67,54
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,3/7/2020,67,71,58
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,3/8/2020,73,76,63
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,3/9/2020,68,79,58
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,3/10/2020,60,79,53
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,3/11/2020,57,67,53
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,3/12/2020,57,64,54
CHM00059082,"SHAOGUAN, CH",24.667,113.6,68,3/13/2020,60,62,55
CHM00050949,"QIAN GORLOS, CH",45.083,124.867,136,1/1/2020,-3,6,-14
CHM00050949,"QIAN GORLOS, CH",45.083,124.867,136,1/2/2020,2,11,-11
CHM00050949,"QIAN GORLOS, CH",45.083,124.867,136,1/3/2020,4,14,-7
CHM00050949,"QIAN GORLOS, CH",45.083,124.867,136,1/4/2020,4,17,-5
CHM00050949,"QIAN GORLOS, CH",45.083,124.867,136,1/5/2020,11,22,-3
CHM00050949,"QIAN GORLOS, CH",45.083,124.867,136,1/6/2020,19,27,4
CHM00050949,"QIAN GORLOS, CH",45.083,124.867,136,1/7/2020,12,27,4
CHM00050949,"QIAN GORLOS, CH",45.083,124.867,136,1/8/2020,4,15,-8
